id,elevated,has_insurance,relocated,trust_in_insurance,trust_in_neighbors,memory,flood_threshold
Agent_1,False,True,False,0.29,0.53,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.57
Agent_2,False,True,False,0.24,0.43,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.85
Agent_3,False,True,False,0.46,0.54,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.65
Agent_4,False,False,False,0.38,0.36,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.86
Agent_5,False,True,False,0.25,0.45,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods,0.63
Agent_6,False,False,False,0.21,0.45,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.51
Agent_7,False,False,False,0.47,0.51,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.7
Agent_8,False,True,False,0.48,0.41,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.7
Agent_9,False,True,False,0.36,0.38,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.56
Agent_10,False,False,False,0.32,0.38,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.89
Agent_11,False,False,False,0.35,0.47,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.42
Agent_12,False,True,False,0.49,0.36,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.59
Agent_13,False,True,False,0.4,0.49,"The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.47
Agent_14,False,False,False,0.4,0.39,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.42
Agent_15,False,False,False,0.42,0.45,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.74
Agent_16,False,True,False,0.21,0.39,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.85
Agent_17,False,True,False,0.45,0.54,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.45
Agent_18,False,True,False,0.4,0.42,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.61
Agent_19,False,True,False,0.26,0.53,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.68
Agent_20,False,True,False,0.25,0.54,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.53
Agent_21,False,True,False,0.25,0.47,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.69
Agent_22,False,False,False,0.39,0.49,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years",0.89
Agent_23,False,True,False,0.38,0.48,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.62
Agent_24,False,False,False,0.22,0.54,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.54
Agent_25,False,True,False,0.35,0.37,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.73
Agent_26,False,True,False,0.4,0.41,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.74
Agent_27,False,True,False,0.21,0.37,"The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.61
Agent_28,False,True,False,0.3,0.53,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.89
Agent_29,False,True,False,0.21,0.44,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.84
Agent_30,False,False,False,0.4,0.39,"A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.62
Agent_31,False,True,False,0.49,0.36,"The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.58
Agent_32,False,True,False,0.34,0.41,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.74
Agent_33,False,True,False,0.43,0.45,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.72
Agent_34,False,True,False,0.48,0.49,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.81
Agent_35,False,True,False,0.37,0.51,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.5
Agent_36,False,False,False,0.24,0.38,"Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.69
Agent_37,False,True,False,0.3,0.41,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.6
Agent_38,False,True,False,0.48,0.48,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.86
Agent_39,False,False,False,0.29,0.41,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods",0.8
Agent_40,False,False,False,0.38,0.41,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.49
Agent_41,False,False,False,0.2,0.39,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.7
Agent_42,False,False,False,0.23,0.36,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.49
Agent_43,False,True,False,0.35,0.4,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.73
Agent_44,False,False,False,0.38,0.54,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.51
Agent_45,False,False,False,0.3,0.43,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.82
Agent_46,False,False,False,0.41,0.47,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims",0.54
Agent_47,False,False,False,0.22,0.53,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.71
Agent_48,False,False,False,0.39,0.51,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.75
Agent_49,False,True,False,0.3,0.46,"The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.72
Agent_50,False,False,False,0.44,0.47,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years",0.79
Agent_51,False,False,False,0.33,0.53,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.55
Agent_52,False,False,False,0.22,0.54,The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.88
Agent_53,False,False,False,0.31,0.42,A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.83
Agent_54,False,False,False,0.47,0.37,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.48
Agent_55,False,True,False,0.43,0.35,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents",0.73
Agent_56,False,True,False,0.39,0.44,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.86
Agent_57,False,False,False,0.32,0.44,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.42
Agent_58,False,False,False,0.48,0.48,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.44
Agent_59,False,False,False,0.43,0.42,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.61
Agent_60,False,False,False,0.34,0.38,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.74
Agent_61,False,True,False,0.4,0.39,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.53
Agent_62,False,False,False,0.3,0.52,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims",0.66
Agent_63,False,False,False,0.22,0.41,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | A few households in the area elevated their homes before recent floods",0.72
Agent_64,False,True,False,0.36,0.45,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.87
Agent_65,False,True,False,0.48,0.5,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.41
Agent_66,False,True,False,0.26,0.52,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.69
Agent_67,False,True,False,0.36,0.48,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims,0.83
Agent_68,False,False,False,0.36,0.43,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years",0.44
Agent_69,False,False,False,0.27,0.53,Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods,0.73
Agent_70,False,True,False,0.35,0.37,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims,0.5
Agent_71,False,True,False,0.4,0.54,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.66
Agent_72,False,True,False,0.38,0.42,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.68
Agent_73,False,True,False,0.29,0.51,"Some residents reported delays when processing their flood insurance claims | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.59
Agent_74,False,False,False,0.33,0.38,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.87
Agent_75,False,False,False,0.48,0.47,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.83
Agent_76,False,False,False,0.48,0.4,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims",0.59
Agent_77,False,True,False,0.25,0.42,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.54
Agent_78,False,True,False,0.34,0.5,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | The city previously introduced a program offering elevation support to residents,0.78
Agent_79,False,True,False,0.24,0.39,The city previously introduced a program offering elevation support to residents | A few households in the area elevated their homes before recent floods,0.61
Agent_80,False,True,False,0.3,0.42,"Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.42
Agent_81,False,False,False,0.26,0.42,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods | Some residents reported delays when processing their flood insurance claims,0.58
Agent_82,False,True,False,0.38,0.45,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years",0.47
Agent_83,False,False,False,0.4,0.36,"The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.6
Agent_84,False,False,False,0.27,0.46,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.55
Agent_85,False,False,False,0.33,0.42,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods,0.79
Agent_86,False,False,False,0.35,0.4,Some residents reported delays when processing their flood insurance claims | The city previously introduced a program offering elevation support to residents,0.64
Agent_87,False,True,False,0.4,0.54,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A few households in the area elevated their homes before recent floods",0.61
Agent_88,False,True,False,0.34,0.39,Some residents reported delays when processing their flood insurance claims | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.54
Agent_89,False,True,False,0.22,0.36,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.54
Agent_90,False,True,False,0.21,0.45,A few households in the area elevated their homes before recent floods | The city previously introduced a program offering elevation support to residents,0.77
Agent_91,False,True,False,0.36,0.54,"A few households in the area elevated their homes before recent floods | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | News outlets have reported a possible trend of increasing flood frequency and severity in recent years",0.64
Agent_92,False,False,False,0.31,0.36,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.49
Agent_93,False,False,False,0.48,0.52,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents",0.64
Agent_94,False,False,False,0.49,0.5,News outlets have reported a possible trend of increasing flood frequency and severity in recent years | Some residents reported delays when processing their flood insurance claims | A few households in the area elevated their homes before recent floods,0.71
Agent_95,False,True,False,0.42,0.51,"News outlets have reported a possible trend of increasing flood frequency and severity in recent years | A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all",0.69
Agent_96,False,False,False,0.43,0.36,The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.63
Agent_97,False,False,False,0.22,0.36,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | Some residents reported delays when processing their flood insurance claims",0.83
Agent_98,False,False,False,0.5,0.38,A few households in the area elevated their homes before recent floods | News outlets have reported a possible trend of increasing flood frequency and severity in recent years,0.43
Agent_99,False,False,False,0.48,0.45,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents | Some residents reported delays when processing their flood insurance claims",0.87
Agent_100,False,True,False,0.48,0.49,"A flood event about 15 years ago caused $500,000 in city-wide damages; my neighborhood was not impacted at all | The city previously introduced a program offering elevation support to residents | News outlets have reported a possible trend of increasing flood frequency and severity in recent years",0.51
