model,group,run,n_active,n_rr_final,n_rh_final,R_R_final,R_H_final,H_norm_k4_final,EHE_k4_final
gemma3_4b,Group_A,Run_1,998,20,256,0.02004008016032064,0.2565130260521042,0.6638279246738895,0.4935474149379018
gemma3_4b,Group_A,Run_2,1000,13,137,0.013,0.137,0.5039832029756034,0.43493750416794574
gemma3_4b,Group_A,Run_3,1000,14,159,0.014,0.159,0.5223573119344929,0.43930249933690846
gemma3_4b,Group_B,Run_1,855,5,96,0.005847953216374269,0.11228070175438597,0.7897164187658736,0.7010465050798808
gemma3_4b,Group_B,Run_2,846,2,95,0.002364066193853428,0.11229314420803782,0.7230144736300923,0.6418249050782497
gemma3_4b,Group_B,Run_3,899,10,95,0.011123470522803115,0.10567296996662959,0.7008390890288079,0.6267793410224266
gemma3_4b,Group_C,Run_1,857,20,96,0.023337222870478413,0.11201866977829639,0.8042974383631718,0.714201109211638
gemma3_4b,Group_C,Run_2,879,2,94,0.0022753128555176336,0.10693970420932879,0.7518517549090671,0.6714489506298267
gemma3_4b,Group_C,Run_3,946,1,95,0.0010570824524312897,0.10042283298097252,0.7000562532756408,0.6297546210756557
gemma3_12b,Group_A,Run_1,999,52,795,0.05205205205205205,0.7957957957957958,0.47127455893932246,0.09623624626989165
gemma3_12b,Group_A,Run_2,958,46,755,0.04801670146137787,0.7881002087682673,0.5007646877286662,0.10611193278592822
gemma3_12b,Group_A,Run_3,980,43,788,0.04387755102040816,0.8040816326530612,0.46886764150721744,0.09185978282590383
gemma3_12b,Group_B,Run_1,883,0,96,0.0,0.1087202718006795,0.4781154556420319,0.4261346133525245
gemma3_12b,Group_B,Run_2,802,1,96,0.0012468827930174563,0.11970074812967581,0.5263403211385841,0.46333699092748176
gemma3_12b,Group_B,Run_3,944,1,96,0.001059322033898305,0.1016949152542373,0.44311001721862636,0.39804798156927457
gemma3_12b,Group_C,Run_1,962,0,96,0.0,0.0997920997920998,0.47275010693019903,0.42557338108269477
gemma3_12b,Group_C,Run_2,974,1,96,0.001026694045174538,0.09856262833675565,0.37147539572536886,0.3348618043602401
gemma3_12b,Group_C,Run_3,998,0,96,0.0,0.09619238476953908,0.426407754217374,0.3853905754549813
gemma3_27b,Group_A,Run_1,1000,80,165,0.08,0.165,0.6954769074619422,0.5807232177307218
gemma3_27b,Group_A,Run_2,1000,100,93,0.1,0.093,0.5952194661505814,0.5398640557985773
gemma3_27b,Group_A,Run_3,1000,89,166,0.089,0.166,0.6957957787136138,0.5802936794471538
gemma3_27b,Group_B,Run_1,984,0,96,0.0,0.0975609756097561,0.6290259667030474,0.5676575797076282
gemma3_27b,Group_B,Run_2,996,0,96,0.0,0.0963855421686747,0.6166282804172023,0.5571942292926527
gemma3_27b,Group_B,Run_3,1000,0,96,0.0,0.096,0.6167025413618097,0.557499097391076
gemma3_27b,Group_C,Run_1,997,0,94,0.0,0.09428284854563691,0.6848092111939993,0.6202434480523383
gemma3_27b,Group_C,Run_2,1000,0,89,0.0,0.089,0.6559340358813158,0.5975559066878787
gemma3_27b,Group_C,Run_3,994,0,96,0.0,0.096579476861167,0.6886259379026084,0.6221188050669441
ministral3_3b,Group_A,Run_1,991,238,761,0.2401614530776993,0.7679112008072654,0.435467020816369,0.10106701794930865
ministral3_3b,Group_A,Run_2,975,172,748,0.1764102564102564,0.7671794871794871,0.45383687630959946,0.1056625342792606
ministral3_3b,Group_A,Run_3,100,19,31,0.19,0.31,0.5567581275431489,0.3841631080047727
ministral3_3b,Group_B,Run_1,688,10,97,0.014534883720930232,0.14098837209302326,0.7550324732094977,0.6485816739343214
ministral3_3b,Group_B,Run_2,718,1,93,0.001392757660167131,0.12952646239554316,0.7167191867350138,0.6238850859462167
ministral3_3b,Group_B,Run_3,0,0,0,0.0,0.0,0.0,0.0
ministral3_3b,Group_C,Run_1,764,1,94,0.0013089005235602095,0.12303664921465969,0.6401354636516758,0.561375341160501
ministral3_3b,Group_C,Run_2,705,0,94,0.0,0.13333333333333333,0.7229094174040182,0.6265214950834824
ministral3_3b,Group_C,Run_3,0,0,0,0.0,0.0,0.0,0.0
ministral3_8b,Group_A,Run_1,984,41,162,0.041666666666666664,0.16463414634146342,0.7524513028757583,0.628572124963286
ministral3_8b,Group_A,Run_2,998,59,174,0.05911823647294589,0.1743486973947896,0.7396418492420753,0.6106862562880461
ministral3_8b,Group_A,Run_3,977,51,182,0.052200614124872056,0.1862845445240532,0.7615417857801399,0.6196783210800524
ministral3_8b,Group_B,Run_1,948,0,95,0.0,0.10021097046413502,0.6269211623625475,0.564096784277693
ministral3_8b,Group_B,Run_2,923,0,92,0.0,0.09967497291440953,0.6180106864727665,0.5564104880377778
ministral3_8b,Group_B,Run_3,939,0,93,0.0,0.09904153354632587,0.6330223462399719,0.5703268422992718
ministral3_8b,Group_C,Run_1,815,0,94,0.0,0.11533742331288344,0.6232029181158675,0.5513242993393135
ministral3_8b,Group_C,Run_2,838,0,94,0.0,0.11217183770883055,0.6542157678847755,0.5808311829430466
ministral3_8b,Group_C,Run_3,859,0,93,0.0,0.10826542491268917,0.5957640382884375,0.5312633915354402
ministral3_14b,Group_A,Run_1,973,129,775,0.13257965056526208,0.7965056526207606,0.4804725944397028,0.09777345703911731
ministral3_14b,Group_A,Run_2,965,117,764,0.12124352331606218,0.7917098445595855,0.4960226871071094,0.10331664259951191
ministral3_14b,Group_A,Run_3,968,139,807,0.14359504132231404,0.8336776859504132,0.4273448834511461,0.07107698991284557
ministral3_14b,Group_B,Run_1,889,0,96,0.0,0.10798650168728909,0.695087929329957,0.6200278154765533
ministral3_14b,Group_B,Run_2,829,0,95,0.0,0.11459589867310012,0.7171481396723814,0.634965904124883
ministral3_14b,Group_B,Run_3,877,0,95,0.0,0.10832383124287344,0.7119946834360625,0.6348686915017113
ministral3_14b,Group_C,Run_1,927,0,95,0.0,0.10248112189859762,0.7124885393208636,0.6394719144713684
ministral3_14b,Group_C,Run_2,913,0,95,0.0,0.10405257393209201,0.6859092552959805,0.6145386317985893
ministral3_14b,Group_C,Run_3,930,0,94,0.0,0.1010752688172043,0.7011746294946491,0.6303032153306739
